tran_id,product_id,product_name,quantity,tran_date,unit_price,customer_id
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12/1/2010 8:45,3.75,12583
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,3.75,12583
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,12583
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,0.85,12583
536370,21883,STARS GIFT TAPE ,24,12/1/2010 8:45,0.65,12583
536370,10002,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,0.85,12583
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,1.25,12583
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,2.95,12583
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2010 8:45,2.95,12583
536370,22629,SPACEBOY LUNCH BOX ,24,12/1/2010 8:45,1.95,12583
536370,22659,LUNCH BOX I LOVE LONDON,24,12/1/2010 8:45,1.95,12583
536370,22631,CIRCUS PARADE LUNCH BOX ,24,12/1/2010 8:45,1.95,12583
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/2010 8:45,0.85,12583
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2010 8:45,1.65,12583
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,12/1/2010 8:45,2.95,12583
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/2010 8:45,3.75,12583
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,12/1/2010 8:45,0.42,12583
536370,22544,MINI JIGSAW SPACEBOY,24,12/1/2010 8:45,0.42,12583
536370,22492,MINI PAINT SET VINTAGE ,36,12/1/2010 8:45,0.65,12583
536370,POST,POSTAGE,3,12/1/2010 8:45,18,12583
536403,22867,HAND WARMER BIRD DESIGN,96,12/1/2010 11:27,1.85,12791
536403,POST,POSTAGE,1,12/1/2010 11:27,15,12791
536527,22809,SET OF 6 T-LIGHTS SANTA,6,12/1/2010 13:04,2.95,12662
536527,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,12/1/2010 13:04,2.55,12662
536527,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,12/1/2010 13:04,0.85,12662
536527,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12/1/2010 13:04,1.65,12662
536527,22244,3 HOOK HANGER MAGIC GARDEN,12,12/1/2010 13:04,1.95,12662
536527,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/1/2010 13:04,1.65,12662
536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,12/1/2010 13:04,0.42,12662
536527,20712,JUMBO BAG WOODLAND ANIMALS,10,12/1/2010 13:04,1.95,12662
536527,20713,JUMBO BAG OWLS,10,12/1/2010 13:04,1.95,12662
536527,22837,HOT WATER BOTTLE BABUSHKA ,4,12/1/2010 13:04,4.65,12662
536527,22969,HOMEMADE JAM SCENTED CANDLES,12,12/1/2010 13:04,1.45,12662
536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,12/1/2010 13:04,1.65,12662
536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,12/1/2010 13:04,1.25,12662
536527,22549,PICTURE DOMINOES,12,12/1/2010 13:04,1.45,12662
536527,POST,POSTAGE,1,12/1/2010 13:04,18,12662
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,12/1/2010 14:33,1.95,12472
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,12/1/2010 14:33,1.65,12472
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,12/1/2010 14:33,2.95,12472
